feature,coef_female,coef_male,coef_none,max_abs
desc_test,0.3106870212604224,-0.15276738389250075,-0.12161891354576754,0.3106870212604224
desc_spray,0.1553015696699175,0.07692329723336148,-0.3070690456892921,0.3070690456892921
bc_christmas,-0.30502948955383247,0.06445812992198248,0.21735955074322122,0.30502948955383247
bc_chocolate,-0.23781167347764487,0.0032104818467599628,0.3030984460464939,0.3030984460464939
bc_gel body,-0.11160917734208771,0.29853733473188454,-0.09305513661536255,0.29853733473188454
bc_razors blades,0.0018432509750353674,0.29497230772208555,-0.2897281398423505,0.29497230772208555
desc_moisture,0.14779003782265443,-0.29217296936537074,0.1159194086994801,0.29217296936537074
bc_pet,0.04530756004075293,-0.28674268714039103,0.21819081842258758,0.28674268714039103
bc_bc pet,0.04530756004075293,-0.28674268714039103,0.21819081842258758,0.28674268714039103
bc_wash,-0.12135649169553998,0.28656345851516307,-0.07586265246883046,0.28656345851516307
desc_anti,0.14425124804347217,0.044694147387045226,-0.2829662342546975,0.2829662342546975
bc_gift,0.12252303355703409,0.09341277853784506,-0.2829163622980348,0.2829163622980348
bc_sweets bc,-0.28280555811483077,0.04619114106001494,0.25740101820882255,0.28280555811483077
desc_shower,-0.09000991848666665,0.2825771962774844,-0.08861116293343795,0.2825771962774844
feat_color1_gray,-0.007876483185532725,0.28246978562411085,-0.26043698795569553,0.28246978562411085
bc_bc deodorant,-0.05486723328315498,0.2822781072698403,-0.18724619271210782,0.2822781072698403
bc_pads,0.2749511801945951,-0.14561955092597298,-0.04490330886809645,0.2749511801945951
desc_smelling,-0.16468348952061382,0.2734413058877574,-0.04386525207524351,0.2734413058877574
bc_travel,-0.1765361891312397,-0.05884680228119019,0.27090824328945834,0.27090824328945834
bc_bc christmas,-0.2699629181105293,0.08547186967775634,0.1590234751189098,0.2699629181105293
desc_technology,-0.10564940395868193,0.26900967990942004,-0.12405960247974623,0.26900967990942004
feat_color2_pink,0.26584640105360247,-0.08030297723900585,-0.15841629763233264,0.26584640105360247
bc_hair,0.1126334589816277,-0.26541836036757155,0.08825656866498865,0.26541836036757155
desc_years,-0.1402935767181975,-0.08190213305762446,0.2644341119194455,0.2644341119194455
feat_color3_gray,0.06956190733188639,0.15993077229976638,-0.2643831426695945,0.2643831426695945
bc_health,0.035578266913491446,-0.2615148474142248,0.18764309927865794,0.2615148474142248
desc_sweat,0.01931304210917118,0.1882151535357943,-0.26150424299542463,0.26150424299542463
desc_cream,0.26045997072968513,-0.23585791588456195,-0.011202321092935268,0.26045997072968513
desc_clean,-0.16568615106424572,0.25966367716215905,-0.06342374143085099,0.25966367716215905
desc_br,0.256947151741046,-0.1392241352221373,-0.22722715627784473,0.256947151741046
bc_bc chocolate,-0.22366105913850043,0.01866287450502979,0.25528438379845236,0.25528438379845236
desc_hand,-0.023388965936547962,-0.18062551071040195,0.2519007243887276,0.2519007243887276
bc_bc dog,0.08765733501053335,-0.2481695994066944,0.12715931722636686,0.2481695994066944
bc_dog,0.08765733501053335,-0.2481695994066944,0.12715931722636686,0.2481695994066944
bc_bc antiperspirant,0.20057613825485188,-0.030149627965289895,-0.24736612364160504,0.24736612364160504
bc_bc glassware,-0.10853814200656517,-0.07070883167902033,0.2466262117979037,0.2466262117979037
bc_glassware bc,-0.10853814200656517,-0.07070883167902033,0.2466262117979037,0.2466262117979037
bc_bc cat,0.2361105559680215,-0.24232837348844674,-0.014618159341955534,0.24232837348844674
bc_cat,0.2361105559680215,-0.24232837348844674,-0.014618159341955534,0.24232837348844674
desc_design,-0.08314819856614446,-0.09804587171831872,0.2411290057221026,0.2411290057221026
bc_multivitamins,0.2397015717685134,-0.004217534202804896,-0.18885022967328988,0.2397015717685134
store_0,0.2223822246207974,-0.21308961601106213,0.23530526314962757,0.23530526314962757
feat_color1_salmon,0.2350571832921112,-0.06765545788385746,-0.14436294909667474,0.2350571832921112
